,unemployment_rate,employment_rate,mean_wage,wage_gini,n_firms,job_finding_rate,separation_rate,discouraged_share,vacancy_count,capability_level,ai_price,adoption_share,automated_task_share,output_index,layoff_rate,market_tightness,wage_p10,wage_p25,wage_p50,wage_p75,wage_p90
0,0.052,0.948,1.0231204884323253,0.2907506616658849,211,0.23529411764705882,0.011578947368421053,0.0,167,0.16002915906776533,0.7763564268388066,0.0,0.0,1.00833339906354,0.007368421052631579,1.6057692307692308,0.47622120113999833,0.6292093703848665,0.866374913028144,1.255042727695785,1.7680049372792173
1,0.0585,0.9415,1.021046333249163,0.290944237928313,211,0.25949367088607594,0.010021097046413503,0.0,240,0.170776613699551,0.753411626867399,0.0,0.0,1.0174376404861347,0.018459915611814346,2.051282051282051,0.4750197974940545,0.6230351236931144,0.8675484995799836,1.2543573911924015,1.7615829304585644
2,0.068,0.932,1.0159505133288311,0.29021840611006827,211,0.24861878453038674,0.01168348380244291,0.0,314,0.182145794749389,0.7311449482169826,0.0,0.0,1.0272750271467515,0.022304832713754646,2.3088235294117645,0.4759975218376185,0.6207591196629287,0.853621990459647,1.244488151321076,1.758600353146539
3,0.098,0.902,1.013672988914937,0.2912990403303713,211,0.22529644268774704,0.011266094420600859,0.0,371,0.19398586340400983,0.709536349373726,0.0,0.0,1.0371922888008933,0.05150214592274678,1.8928571428571428,0.4726472761529856,0.6136538705210721,0.8504660679270594,1.2391532638745049,1.7411028722614084
4,0.112,0.888,1.0090341348416416,0.29083198922326614,211,0.2222222222222222,0.01607538802660754,0.0,435,0.20646639212594414,0.6885663811400463,0.0,0.0,1.047363762816832,0.03492239467849224,1.9419642857142858,0.47061923601095457,0.6133946923498104,0.8437931543246117,1.2311217582556577,1.7398337255047824
5,0.157,0.843,1.006761114136934,0.28981554419451183,211,0.1989795918367347,0.010135135135135136,0.0,481,0.219399999554492,0.6682161691290176,0.0,0.0,1.0581096800498813,0.08445945945945946,1.5318471337579618,0.46767650885032075,0.6086339264390335,0.841696825905949,1.2364609418295078,1.7297563056129381
6,0.152,0.848,1.0007829834293398,0.2867439979722686,211,0.2761904761904762,0.004151838671411625,0.0,449,0.23292674660247567,0.6484673967761497,0.0,0.0,1.0691422270728785,0.05871886120996441,1.4769736842105263,0.4681717462517635,0.6105418838304275,0.8390523254129322,1.2327277201569489,1.7105707582570027
7,0.1535,0.8465,0.9870958561849414,0.28560497450207384,211,0.2584541062801932,0.01474056603773585,0.0,441,0.24697811325426758,0.6293022888532428,0.0,0.0,1.0803865447768637,0.05011792452830189,1.4364820846905537,0.46418739506456097,0.6054950853687087,0.8294438431249708,1.2066885361874577,1.7084758760867915
8,0.144,0.856,0.9815132373829208,0.28516535184416825,211,0.2612137203166227,0.010632014176018901,0.0,424,0.2616220866847016,0.6107035954694826,0.0,0.0,1.092049870969563,0.0318960425280567,1.4722222222222223,0.4647850355171515,0.603351235809493,0.8223855269687428,1.197108416174462,1.694336014234213
9,0.1285,0.8715,0.9828678056668787,0.28658526442201404,212,0.29201101928374656,0.014602803738317757,0.0,412,0.2769031143511615,0.5926545765453743,0.0,0.0,1.103756415915217,0.029205607476635514,1.6031128404669261,0.46416057330471944,0.5986912092545016,0.8192745112733457,1.2054474668617994,1.706365259817345
10,0.1135,0.8865,0.9775766850852395,0.2835154339228356,212,0.2582781456953642,0.008032128514056224,0.0,422,0.2928208485604527,0.575138986745541,0.0,0.0,1.1155888132488836,0.01778542742398164,1.8590308370044053,0.4654041703949165,0.599162520686958,0.8189054171228266,1.204268393611057,1.6860107472111419
11,0.141,0.859,0.982501496922278,0.2843020454557749,212,0.24074074074074073,0.008460236886632826,0.0,423,0.3090363953869211,0.5581410608568248,0.0,0.0,1.1274192194858523,0.015792442188381276,1.5,0.46259953790807734,0.596855528339818,0.828172067099337,1.2207112605930068,1.7069442577385656
12,0.1495,0.8505,0.9831424882040185,0.283758517253125,213,0.27639751552795033,0.00989522700814901,0.0,410,0.32555844793149474,0.5416454995985317,0.0,0.0,1.1375457324254448,0.01338766006984866,1.37123745819398,0.4629824021379472,0.5972628939009557,0.8281291436548721,1.2137219370087466,1.7038929638699551
13,0.142,0.858,0.9781406313661133,0.2835382600422376,214,0.27514792899408286,0.011757789535567314,0.0,387,0.34276050975372363,0.5256374558520455,0.0,0.0,1.143366981573978,0.011169900058788948,1.3626760563380282,0.4578148547667775,0.5956908262869776,0.826154040231021,1.1996626677587394,1.6997621647047767
14,0.136,0.864,0.9734253512555407,0.28522332290826313,215,0.2367601246105919,0.013403263403263404,0.0,376,0.3603864697276616,0.5101025212974187,0.0008527131782945736,7.469783599122281e-05,1.151086959955978,0.008158508158508158,1.3823529411764706,0.4557005945070661,0.5926588024291064,0.8202484740951599,1.1965603997959553,1.702598577917257
15,0.1195,0.8805,0.9724379377880549,0.28349878078919416,216,0.2698412698412698,0.013888888888888888,0.0,368,0.3784490381432583,0.49502671344491267,0.0017687559354226017,0.0006968109032512357,1.1583212070603717,0.01099537037037037,1.5397489539748954,0.45673797530983334,0.5944914396781078,0.8231732123736558,1.1977012581712592,1.7022211043726805
